,Winner,Team_1_Position,Team_2_Position,Team_1_Afghanistan,Team_1_Australia,Team_1_Bangladesh,Team_1_England,Team_1_India,Team_1_Netherlands,Team_1_New Zealand,Team_1_Pakistan,Team_1_South Africa,Team_1_Sri Lanka,Team_2_Afghanistan,Team_2_Australia,Team_2_Bangladesh,Team_2_England,Team_2_India,Team_2_Netherlands,Team_2_New Zealand,Team_2_Pakistan,Team_2_South Africa,Team_2_Sri Lanka
176,Australia,3,2,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
177,New Zealand,6,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
178,Sri Lanka,7,8,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
179,Australia,3,2,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
181,England,6,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
182,India,7,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
183,South Africa,3,2,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
184,England,6,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
186,India,8,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
187,South Africa,3,2,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
188,England,6,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
189,South Africa,3,2,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
190,India,7,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
191,India,1,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
192,New Zealand,8,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
193,India,1,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
194,New Zealand,8,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
195,Australia,1,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
196,New Zealand,6,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
198,Bangladesh,9,8,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
199,South Africa,3,7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
200,India,1,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
201,New Zealand,10,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
202,England,8,6,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
204,India,1,9,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
205,South Africa,2,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
206,New Zealand,8,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
208,Afghanistan,9,6,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
209,Australia,2,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
