Team_1,Team_2,Winner,Ground,1
Scotland ,England,Scotland,Grange Cricket Club,311
England ,Australia,England,Sophia Gardens,312
England ,Australia,England,Trent Bridge,313
England ,Australia,England,Riverside Ground,314
England ,Australia,England,Old Trafford,315
England ,India,India,Trent Bridge,316
Zimbabwe ,Pakistan,Pakistan,Queens Sports Club,317
England ,India,England,Lord's,318
Zimbabwe ,Pakistan,Pakistan,Queens Sports Club,319
England ,India,England,Headingley,320
Zimbabwe ,Pakistan,Pakistan,Queens Sports Club,321
Zimbabwe ,Pakistan,Pakistan,Queens Sports Club,322
West Indies ,Bangladesh,Bangladesh,Providence Stadium,323
Zimbabwe ,Pakistan,Pakistan,Queens Sports Club,324
West Indies ,Bangladesh,West Indies ,Providence Stadium,325
West Indies ,Bangladesh,Bangladesh,Warner Park,326
Sri Lanka,South Africa,South Africa,Rangiri Dambulla International Stadium,327
Netherlands ,Nepal,Netherlands,VRA Ground,328
Sri Lanka ,South Africa,South Africa,Rangiri Dambulla International Stadium,329
Netherlands,Nepal,Nepal,VRA Ground,330
Sri Lanka ,South Africa,South Africa,Pallekele International Cricket Stadium,331
Sri Lanka ,South Africa,Sri Lanka,Pallekele International Cricket Stadium,332
Sri Lanka,South Africa,Sri Lanka,R Premadasa Stadium,333
Ireland ,Afghanistan,Afghanistan,Civil Service Cricket Club,334
Ireland ,Afghanistan,Ireland,Civil Service Cricket Club,335
Ireland ,Afghanistan,Afghanistan,Civil Service Cricket Club,336
Bangladesh ,Sri Lanka,Bangladesh,Dubai International Cricket Stadium,337
Hong Kong,Pakistan,Pakistan,Dubai International Cricket Stadium,338
Afghanistan ,Sri Lanka,Afghanistan,Sheikh Zayed Stadium,339
Hong Kong ,India,India,Dubai International Cricket Stadium,340
India ,Pakistan,India,Dubai International Cricket Stadium,341
Afghanistan ,Bangladesh,Afghanistan,Sheikh Zayed Stadium,342
Bangladesh ,India,India,Dubai International Cricket Stadium,343
Afghanistan ,Pakistan,Pakistan,Sheikh Zayed Stadium,344
India ,Pakistan,India,Dubai International Cricket Stadium,345
Afghanistan ,Bangladesh,Bangladesh,Sheikh Zayed Stadium,346
Afghanistan ,India,Match Tied,Dubai International Cricket Stadium,347
Bangladesh ,Pakistan,Bangladesh,Sheikh Zayed Stadium,348
Bangladesh ,India,India,Dubai International Cricket Stadium,349
South Africa ,Zimbabwe,South Africa,Diamond Oval,350
South Africa,Zimbabwe,South Africa,Mangaung Oval,351
South Africa,Zimbabwe,South Africa,Boland Park,352
Sri Lanka ,England,No result,Rangiri Dambulla International Stadium,353
Sri Lanka ,England,England,Rangiri Dambulla International Stadium,354
Sri Lanka ,England,England,Pallekele International Cricket Stadium,355
Sri Lanka,England,England,Pallekele International Cricket Stadium,356
